"id","price","storeID","storeName","storeDeliveryTime","freeMinimumShipping"
"0","2000","0","Target","August 10, 2018","15"
"1","251.32","1","Costco","August 2, 2018","35"
"2","391.97","3","Walmart","August 10, 2018","35"
"3","462.19","0","Target","August 12, 2018","15"
"4","63.62","2","Walgreens","August 10, 2018","15"
"5","44.17","0","Target","August 12, 2018","15"
"6","100.97","2","Walgreens","August 10, 2018","15"
"7","133.89","1","Costco","August 7, 2018","35"
"8","455.83","2","Walgreens","August 5, 2018","15"
"9","116.68","3","Walmart","August 1, 2018","35"
"10","327.12","1","Costco","August 9, 2018","35"
"11","231.81","0","Target","August 5, 2018","15"
"12","324.35","1","Costco","August 5, 2018","35"
"13","438.67","3","Walmart","August 3, 2018","35"
"14","165.4","0","Target","August 13, 2018","15"
"15","51.88","1","Costco","August 11, 2018","35"
"16","118.47","2","Walgreens","August 4, 2018","15"
"17","221.61","1","Costco","August 6, 2018","35"
"18","265.16","2","Walgreens","August 12, 2018","15"
"19","24.28","1","Costco","August 1, 2018","35"
"20","363.17","3","Walmart","August 2, 2018","35"
"21","439.51","1","Costco","August 8, 2018","35"
"22","69.96","2","Walgreens","August 10, 2018","15"
"23","282.31","0","Target","August 7, 2018","15"
"24","436.44","0","Target","August 2, 2018","15"
"25","86.99","2","Walgreens","August 2, 2018","15"
"26","112.1","0","Target","August 4, 2018","15"
"27","399.76","2","Walgreens","August 2, 2018","15"
"28","259.71","3","Walmart","August 8, 2018","35"
"29","107.84","0","Target","August 6, 2018","15"
"30","400.03","3","Walmart","August 11, 2018","35"
"31","87.12","2","Walgreens","August 4, 2018","15"
"32","453.7","2","Walgreens","August 11, 2018","15"
"33","38.43","2","Walgreens","August 1, 2018","15"
"34","360.13","1","Costco","August 1, 2018","35"
"35","395.67","1","Costco","August 12, 2018","35"
"36","206.17","0","Target","August 9, 2018","15"
"37","121.23","2","Walgreens","August 8, 2018","15"
"38","262.98","1","Costco","August 2, 2018","35"
"39","467.17","2","Walgreens","August 5, 2018","15"
"40","232.99","2","Walgreens","August 8, 2018","15"
"41","115.18","3","Walmart","August 3, 2018","35"
"42","401.16","3","Walmart","August 3, 2018","35"
"43","272.77","3","Walmart","August 13, 2018","35"
"44","220.33","3","Walmart","August 10, 2018","35"
"45","30.76","3","Walmart","August 1, 2018","35"
"46","258.98","0","Target","August 2, 2018","15"
"47","498.94","0","Target","August 6, 2018","15"
"48","390.74","0","Target","August 8, 2018","15"
"49","156.31","2","Walgreens","August 12, 2018","15"
"50","143.57","2","Walgreens","August 9, 2018","15"
"51","481.16","0","Target","August 10, 2018","15"
"52","395.44","0","Target","August 2, 2018","15"
"53","37.09","0","Target","August 4, 2018","15"
"54","260.78","2","Walgreens","August 5, 2018","15"
"55","248.32","2","Walgreens","August 5, 2018","15"
"56","237.11","2","Walgreens","August 13, 2018","15"
"57","273.92","0","Target","August 11, 2018","15"
"58","304.62","1","Costco","August 1, 2018","35"
"59","422.32","0","Target","August 11, 2018","15"
"60","463.4","0","Target","August 9, 2018","15"
"61","240.24","3","Walmart","August 3, 2018","35"
"62","294.98","2","Walgreens","August 4, 2018","15"
"63","58.59","1","Costco","August 13, 2018","35"
"64","96.19","0","Target","August 4, 2018","15"
"65","450.05","3","Walmart","August 2, 2018","35"
"66","45.2","0","Target","August 5, 2018","15"
"67","114.86","1","Costco","August 12, 2018","35"
"68","375.16","1","Costco","August 5, 2018","35"
"69","134.92","0","Target","August 5, 2018","15"
"70","216.11","3","Walmart","August 8, 2018","35"
"71","162.14","3","Walmart","August 7, 2018","35"
"72","55","3","Walmart","August 10, 2018","35"
"73","279.85","1","Costco","August 1, 2018","35"
"74","196.85","1","Costco","August 2, 2018","35"
"75","108.67","3","Walmart","August 7, 2018","35"
"76","1.56","2","Walgreens","August 12, 2018","15"
"77","420.86","2","Walgreens","August 3, 2018","15"
"78","448.83","2","Walgreens","August 10, 2018","15"
"79","135.88","0","Target","August 5, 2018","15"
"80","120.63","3","Walmart","August 6, 2018","35"
"81","125.62","1","Costco","August 12, 2018","35"
"82","160.61","3","Walmart","August 10, 2018","35"
"83","91.65","2","Walgreens","August 11, 2018","15"
"84","267.66","2","Walgreens","August 12, 2018","15"
"85","220.39","1","Costco","August 3, 2018","35"
"86","10.46","3","Walmart","August 5, 2018","35"
"87","420.81","3","Walmart","August 2, 2018","35"
"88","356.71","0","Target","August 13, 2018","15"
"89","407.86","2","Walgreens","August 10, 2018","15"
"90","209.8","2","Walgreens","August 11, 2018","15"
"91","379.73","3","Walmart","August 6, 2018","35"
"92","409.2","3","Walmart","August 5, 2018","35"
"93","61.18","0","Target","August 11, 2018","15"
"94","271.2","3","Walmart","August 5, 2018","35"
"95","384.11","1","Costco","August 7, 2018","35"
"96","343.56","1","Costco","August 12, 2018","35"
"97","109.89","1","Costco","August 5, 2018","35"
"98","189.04","0","Target","August 2, 2018","15"
"99","119.34","3","Walmart","August 13, 2018","35"
